Charting Week, Chart Position, Song Title, Artist, Previous Position, Peak Position, Weeks on Chart
1958-08-04,1,Poor Little Fool,Ricky Nelson,-,1,1
1958-08-04,2,Patricia,Perez Prado And His Orchestra,-,2,1
1958-08-04,3,Splish Splash,Bobby Darin,-,3,1
1958-08-04,4,Hard Headed Woman,Elvis Presley With The Jordanaires,-,4,1
1958-08-04,5,When,Kalin Twins,-,5,1
1958-08-04,6,Rebel-'rouser,Duane Eddy His Twangy Guitar And The Rebels,-,6,1
1958-08-04,7,Yakety Yak,The Coasters,-,7,1
1958-08-04,8,My True Love,Jack Scott,-,8,1
1958-08-04,9,Willie And The Hand Jive,The Johnny Otis Show,-,9,1
1958-08-04,10,Fever,Peggy Lee,-,10,1
1958-08-04,11,Ginger Bread,Frankie Avalon,-,11,1
1958-08-04,12,Just A Dream,Jimmy Clanton And His Rockets,-,12,1
1958-08-04,13,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),Patti Page,-,13,1
1958-08-04,14,If Dreams Came True,Pat Boone,-,14,1
1958-08-04,15,For Your Precious Love,Jerry Butler and The Impressions,-,15,1
1958-08-04,16,One Summer Night,The Danleers,-,16,1
1958-08-04,17,Endless Sleep,Jody Reynolds,-,17,1
1958-08-04,18,Little Star,The Elegants,-,18,1
1958-08-04,19,Everybody Loves A Lover,Doris Day,-,19,1
1958-08-04,20,Do You Want To Dance,Bobby Freeman,-,20,1
1958-08-04,21,Guess Things Happen That Way,Johnny Cash And The Tennessee Two,-,21,1
1958-08-04,22,A Certain Smile,Johnny Mathis,-,22,1
1958-08-04,23,Western Movies,The Olympics,-,23,1
1958-08-04,24,The Purple People Eater,Sheb Wooley,-,24,1
1958-08-04,25,What Am I Living For,Chuck Willis,-,25,1
1958-08-04,26,Born Too Late,Poni-Tails,-,26,1
1958-08-04,27,Think It Over,The Crickets,-,27,1
1958-08-04,28,Secretly,Jimmie Rodgers,-,28,1
1958-08-04,29,Enchanted Island,The Four Lads,-,29,1
1958-08-04,30,Angel Baby,Dean Martin,-,30,1
1958-08-04,31,Chantilly Lace,Big Bopper,-,31,1
1958-08-04,32,Blue Blue Day,Don Gibson,-,32,1
1958-08-04,33,The Freeze,Tony And Joe,-,33,1
1958-08-04,34,Don't Ask Me Why,Elvis Presley With The Jordanaires,-,34,1
1958-08-04,35,Rock-in Robin,Bobby Day,-,35,1
1958-08-04,36,"No Chemise, Please",Gerry Granahan,-,36,1
1958-08-04,37,Moon Talk,Perry Como,-,37,1
1958-08-04,38,Somebody Touched Me,Buddy Knox with the Rhythm Orchids,-,38,1
1958-08-04,39,That's How Much I Love You,Pat Boone,-,39,1
1958-08-04,40,Crazy Eyes For You,Bobby Hamilton,-,40,1
1958-08-04,41,Early In The Morning,Buddy Holly,-,41,1
1958-08-04,42,You Cheated,The Slades,-,42,1
1958-08-04,43,Come What May,Clyde McPhatter,-,43,1
1958-08-04,44,Jennie Lee,Jan & Arnie,-,44,1
1958-08-04,45,Kathy-O,The Diamonds,-,45,1
1958-08-04,46,(It's Been A Long Time) Pretty Baby,Gino & Gina,-,46,1
1958-08-04,47,I Wonder Why,Dion & The Belmonts,-,47,1
1958-08-04,48,Return To Me,Dean Martin,-,48,1
1958-08-04,49,All I Have To Do Is Dream,The Everly Brothers,-,49,1
1958-08-04,50,By The Light Of The Silvery Moon,Jimmy Bowen with the Rhythm Orchids,-,50,1
1958-08-04,50,"Baubles, Bangles And Beads",The Kirby Stone Four,-,50,1
1958-08-04,52,Early In The Morning,The Rinky-Dinks,-,52,1
1958-08-04,53,Come Closer To Me (Acercate Mas),Nat King Cole,-,53,1
1958-08-04,54,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,-,54,1
1958-08-04,55,Let's Go Steady For The Summer,The Three G's,-,55,1
1958-08-04,56,Leroy,Jack Scott,-,56,1
