Can't Remember To Forget You,Shakira Featuring Rihanna
Nola,The Morgan Brothers
I'm Gonna Make You Mine,The Shadows Of Knight
(I Can Feel Your Love) Slipping Away,Barbara Mason
Indian Summer,Poco
Miss Me More,Kelsea Ballerini
The Things That I Used To Do,James Brown And His Orchestra
I Hate U I Love U,gnash Featuring Olivia O'Brien
Tell Me Why,Wynonna
"Love Theme From ""The Sandpiper"" (The Shadow Of Your Smile)",Tony Bennett
Shut Up And Let Me Go,The Ting Tings
Never Felt So Alone,Labrinth
Everything We Need,Kanye West Featuring Ty Dolla $ign & Ant Clemons
Good Thing Man,Frank Lucas
Brownsville,Joy Of Cooking
Your Love Is King,Sade
Holding Out For A Hero,Bonnie Tyler
So In Love With Two,Mikaila
Miss Independent,Kelly Clarkson
Take Your Time (Do It Right) Part 1,The S.O.S. Band
"(Theme from) ""The Dark At The Top Of The Stairs""",Ernie Freeman
Someone To Love,Jon B. Featuring Babyface
6 Inch,Beyonce Featuring The Weeknd
Better Tell Him No,The Starlets
State Of Grace,Taylor Swift
Walk On Water,Eminem Featuring Beyonce
Give Me Just One Night (Una Noche),98 Degrees
New Soul,Yael Naim
Plain Jane,Bobby Darin
Summertime,New Kids On The Block
Go!,Moneybagg Yo Featuring BIG30
Freddie,Charlene
Going Through The Motions,Aftershock
Pretend,Carl Mann
Paper Roses,Anita Bryant
Baby I Love You,Little Milton
Happy Xmas (War Is Over),John Legend
Let This Be A Lesson To You,The Independents
Day Tripper,Ramsey Lewis
Love King,The-Dream
Dynamite Woman,Sir Douglas Quintet
All She Wants to Do Is Dance,Don Henley
One Of Us (Will Weep Tonight),Patti Page
Spring In Manhattan,Tony Bennett
Some Things You Never Get Used To,Diana Ross & The Supremes
I'm Gonna Love Her For Both Of Us,Meat Loaf
Love Is On Its Way,Jonas Brothers
Focus,Ariana Grande
Giving It All Away,Roger Daltrey
Minimum Wage,Blake Shelton
Sweet Seasons,Carole King
Magic,Robin Thicke
imgonnagetyouback,Taylor Swift
Sleepy-Eyed John,Johnny Horton
Looking For Space,John Denver
For A Nut,Future Featuring Gunna & Young Thug
Twistin' U.S.A.,Danny & The Juniors
Poor Boy,Casey Kelly
"I Want Your Sex (From ""Beverly Hills Cop II"")",George Michael
Break Or Make Me,YoungBoy Never Broke Again
Same Ol' Situation (S.O.S.),Motley Crue
Don't Try To Lay No Boogie-Woogie On The King Of Rock And Roll,John Baldry
Madrid,Nat King Cole
Lovely Day,Bill Withers
Come Closer To Me (Acercate Mas),Nat King Cole
It's Over Now,Cause And Effect
Hold Your Head Up,Argent
Mr. Penguin-Pt. I,Lunar Funk
Only Lonely,Bon Jovi
Came To The Party,Future & Metro Boomin
In My Dreams,Dokken
Big Time Operator,Keith Hampshire
Over You,Cassadee Pope
Dear John,Taylor Swift
Paralyzed,Sueco
IDGAF,Drake Featuring Yeat
You're Supposed To Keep Your Love For Me,Jermaine Jackson
Don't Forget About Me,Barbara Lewis
Help Me Make It Through The Night,Joe Simon
Summertime Sadness,Lana Del Rey vs. Cedric Gervais
Like Toy Soldiers,Eminem
Get It Right,Glee Cast
Waiting At The Bus Stop,Bobby Sherman
Wins & Losses,Meek Mill
Gimme The Light,Sean Paul
Magnificent,U2
Wild Hearts,Keith Urban
Too Much To Ask,Niall Horan
For Your Love,Stevie Wonder
Come Prima (Koma Preema),Polly Bergen
Old Time's Sake,Eminem Featuring Dr. Dre
Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona
When Liking Turns To Loving,Ronnie Dove
Living For The City,Ray Charles
Every Little Thing,Russell Dickerson
House Of The Rising Sun,Santa Esmeralda
Sweet Mary,Wadsworth Mansion
Till,The Vogues
Freedom,Jimi Hendrix
React,Erick Sermon Featuring Redman
Johnny B. Goode,Peter Tosh
Gangsta Boo,Ice Spice & Lil Tjay
I Can't Take It Back,YoungBoy Never Broke Again
Can We Talk,Tevin Campbell
Todo de Ti,Rauw Alejandro
"Please, Daddy",John Denver
Love Me All The Way,Kim Weston
One More Chance/Stay With Me,The Notorious B.I.G.
Outside (100 MPH),Meek Mill
Taking You Home,Don Henley
Let It Go,Idina Menzel
"Season Of The Witch, Pt. 1",Vanilla Fudge
When The Boy's Happy (The Girl's Happy Too),The Four Pennies
Hot Blooded,Foreigner
Boom Boom (Out Go The Lights),Pat Travers
U Send Me Swingin',Mint Condition
Going On,Gnarls Barkley
My Elusive Dreams,Charlie Rich
Africa,Toto
Just The Girl,The Click Five
The Ol' Race Track,The Mills Brothers
Days Are Numbers (The Traveller),The Alan Parsons Project
Only One Woman,Nigel Olsson
B'wa Nina (Pretty Girl),The Tokens
Hey Jude,The Beatles
What's On Tonight,Montell Jordan
I Think We're Alone Now,Tommy James And The Shondells
Lonely Together,Barry Manilow
Party,Beyonce Featuring Andre 3000
Show Me Love,Robyn
Walk On The Ocean,Toad The Wet Sprocket
Mighty Clouds Of Joy,B.J. Thomas
I'm Already Taken,Steve Wariner
I Forgot More Than You'll Ever Know,Sonny James
Self Love,Metro Boomin & Coi Leray
Get Money,Junior M.A.F.I.A. Featuring The Notorious B.I.G.
If You Gotta Make A Fool Of Somebody,James Ray
No Matter What Shape (Your Stomach's In),The T-Bones
Bake Sale,Wiz Khalifa Featuring Travi$ Scott
Young And In Love,Dick and DeeDee
Hully Gully Guitar,Jerry Reed And The Hully Girlies
Come Home Soon,SHeDAISY
When You Talk About Love,Patti LaBelle
Madiba Riddim,Drake
All Day Long,Chance The Rapper Featuring John Legend
Shotta Flow 6,NLE Choppa
Candy,Iggy Pop With Kate Pierson
Snowflakes,Tom MacDonald
The Dedication Song,Freddy Cannon
Over You,Miranda Lambert
My Generation,The Who
Kiss Me More,Doja Cat Featuring SZA
Fall,Eminem
My Life,50 Cent Featuring Eminem & Adam Levine
When We Were Young,Adele
People Gotta Move,Gino Vannelli
I'll Never Stop Wanting You,Brian Hyland
Good 4 U,Olivia Rodrigo
If I Give My Heart To You,Kitty Kallen
Good Lovin' Ain't Easy To Come By,Marvin Gaye & Tammi Terrell
My Best Friend's Girl,The Cars
One Hurt Deserves Another,The Raelets/Ray Charles Orchestra
Come Prima,Tony Dallara
Shotgun Rider,Tim McGraw
Someone Like You,Michael Stanley Band
Cherchez LaGhost,Ghostface Killah
I Just Fall In Love Again,Anne Murray
Red,HARDY Featuring Morgan Wallen
Timeless,A Boogie Wit da Hoodie Featuring DJ SPINKING
Urgent,Foreigner
Beer Never Broke My Heart,Luke Combs
I May Hate Myself In The Morning,Lee Ann Womack
What You Want,Mase Featuring Total
Provide,G-Eazy Featuring Chris Brown & Mark Morrison
Heartless,Heart
"Save Me, San Francisco",Train
The Best Things In Life Are Free,Luther Vandross And Janet Jackson With BBD And Ralph Tresvant
Suspicion,Terry Stafford
Really Really,Kevin Gates
Wildside,Marky Mark & The Funky Bunch
That's All,Genesis
Part II (On The Run),Jay Z Featuring Beyonce
Worldwide Beautiful,Kane Brown
Muskrat,The Everly Brothers
3,Britney Spears
Why (Am I Treated So Bad),Bobby Powell
Winter World Of Love,Engelbert Humperdinck
Good Things Don't Last Forever,"Ecstasy, Passion & Pain"
The Hand That Feeds,Nine Inch Nails
(For God's Sake) Give More Power To The People,The Chi-lites
To Show I Love You,Peter And Gordon
Jamie,Eddie Holland
Star Of The Show,Thomas Rhett
Land Of 1000 Dances,The Electric Indian
Shake My,Three 6 Mafia Featuring Kalenna
Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk
Smooth Up,BulletBoys
Justify My Love,Madonna
Give Me All Your Luvin',Madonna Featuring Nicki Minaj & M.I.A.
Sally Had A Party,Flavor
Wine Into Water,Morgan Wallen
Aye,Lil Uzi Vert Featuring Travis Scott
Take Me As I Am,Mary J. Blige
I'm On One,Future Featuring Drake
Love Never Fails,Greg Kihn Band
Heartspark Dollarsign,Everclear
Tighten Up,The Black Keys
Ayo,Chris Brown & Tyga
Know Like I Know,YoungBoy Never Broke Again
You Always Come Back (To Hurting Me),Johnny Rodriguez
Hey Little Girl,Dee Clark
Constant Rain (Chove Chuva),Sergio Mendes & Brasil '66
Groovy Kind Of Love,Phil Collins
I've Been In Love Before,Cutting Crew
It Ain't Enough,Corey Hart
God Bless America,Daniel Rodriguez
My Heart Would Know,Al Martino
Humble.,Kendrick Lamar
Twixt Twelve And Twenty,Pat Boone
Say Something Funny,Patty Duke
409,The Beach Boys
In Da Wind,Trick Daddy Featuring Cee-Lo & Big Boi
I Cannot Be (A Sadder Song),Post Malone Featuring Gunna
Why You Always Hatin?,YG Featuring Drake & Kamaiyah
We'll Cry Together,Maxine Brown
Champagne Night,Lady A
Did You Ever Have To Make Up Your Mind?,The Lovin' Spoonful
Anyone Who Had A Heart,Dionne Warwick
Fine China,Future & Juice WRLD
Sunshine Roses,Gene Cotton
There But For Fortune,Joan Baez
What Is Love,Howard Jones
Collide,Howie Day
Tear In My Heart,twenty one pilots
The NeverEnding Story,Limahl
Little Woman,Bobby Sherman
Pleasure,The Soup Dragons
Life's What You Make It,Hannah Montana
It's A Hard Life,Queen
Walkin' Shoes,Tora Tora
My Life,Chuck Willis
(I'm So) Afraid Of Losing You Again,Charley Pride
Alone With You,Jake Owen
Kids Say The Darndest Things,Tammy Wynette
Day-In Day-Out,David Bowie
What About Your Friends,TLC
The Letter,The Arbors
Don't Wait,Dashboard Confessional
Chances,Five For Fighting
Prove Your Love,Taylor Dayne
It's The Little Things,Sonny & Cher
(1-2-3-4-5-6-7) Count The Days,Inez & Charlie Foxx
Nobody I Know,Peter And Gordon
Lollipop (Candyman),Aqua
Dreamcatcher,Metro Boomin Featuring Swae Lee & Travis Scott
The Look,Roxette
Holding My Heart,Bang
Do Me!,Bell Biv DeVoe
Wild Horses,Garth Brooks
Waiting For Love,Alias
El Perdedor,Enrique Iglesias Featuring Marco Antonio Solis
Little Latin Lupe Lu,Mitch Ryder And The Detroit Wheels
Happy Days Are Here Again / Get Happy,Glee Cast
Put On A Smile,Silk Sonic (Bruno Mars & Anderson .Paak)
The Call,Backstreet Boys
Help Me Find A Way (To Say I Love You),Little Anthony And The Imperials
Also Sprach Zarathustra (2001),Deodato
Because You're Young,Jimmie Rodgers
Safety Dance,Glee Cast
Kamikaze,Eminem
If You Want This Love,Sonny Knight
Take A Chance On Me,ABBA
Go West,Village People
Lifestyles Of The Rich And Famous,Good Charlotte
The Story Of O.J.,JAY-Z
Somebody Cares,Tommy James And The Shondells
Don't Let The Joneses Get You Down,The Temptations
Dance Naked,John Mellencamp
Last Call,Lee Ann Womack
Fading,Rod Wave
Down By The Station,The Four Preps
Gots Ta Be,B2K
The Joker,Snail
100.mil',J. Cole & Bas
Ride 'em Cowboy,Paul Davis
Sometimes,Facts Of Life
Don't Let It End ('til You Let It Begin),The Miracles
Eagles Fly,Sammy Hagar
Can't Find The Time,Orpheus
Dear Mrs. Applebee,Flip Cartridge
Give It Away,The Chi-lites
How You Gonna See Me Now,Alice Cooper
Dreams Of The Everyday Housewife,Glen Campbell
Whatcha Gonna Do,Chilliwack
Stuck In A Moment You Can't Get Out Of,U2
Boogie Down,Jarreau
Felicidad,Sally Field
Spirits In The Material World,The Police
She's Everything,Brad Paisley
Sanctuary,Joji
Baby's First Christmas,Connie Francis
The Golden Age Of Rock 'n' Roll,Mott The Hoople
The Love We Had (Stays On My Mind),The Dells
Make Love Like A Man,Def Leppard
3am,Eminem
